appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,176143,4520,0,"10,000,000 .. 20,000,000",10689,119,307,104,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,16494,"{'Action': 5347, 'FPS': 4763, 'Multiplayer': 3324, 'Shooter': 3303, 'Classic': 2735, 'Team-Based': 1827, 'First-Person': 1672, 'Competitive': 1571, 'Tactical': 1311, ""1990's"": 1169, 'e-sports': 1160, 'PvP': 850, 'Old School': 731, 'Military': 615, 'Strategy': 603, 'Survival': 291, 'Score Attack': 281, '1980s': 251, 'Assassin': 221, 'Violent': 62}"
20,Team Fortress Classic,Valve,Valve,,4895,827,0,"2,000,000 .. 5,000,000",48,0,19,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,85,"{'Action': 741, 'FPS': 302, 'Multiplayer': 254, 'Classic': 227, 'Hero Shooter': 208, 'Shooter': 202, 'Team-Based': 184, 'Class-Based': 177, 'First-Person': 164, ""1990's"": 127, 'Old School': 103, 'Co-op': 88, 'Competitive': 66, 'Fast-Paced': 58, 'Retro': 52, 'Online Co-Op': 50, 'Violent': 41, 'Mod': 34, 'Remake': 34, 'Funny': 33}"
30,Day of Defeat,Valve,Valve,,4680,521,0,"5,000,000 .. 10,000,000",149,0,25,0,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,136,"{'FPS': 780, 'World War II': 245, 'Multiplayer': 199, 'Shooter': 184, 'Action': 156, 'War': 146, 'Team-Based': 129, 'Classic': 121, 'First-Person': 101, 'Class-Based': 75, 'Military': 62, 'Historical': 54, 'Tactical': 40, 'Co-op': 33, 'Singleplayer': 31, 'Difficult': 15, 'Retro': 14, 'Strategy': 14, 'Old School': 13, 'World War I': 13}"
40,Deathmatch Classic,Valve,Valve,,1716,375,0,"5,000,000 .. 10,000,000",37,0,8,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,6,"{'Action': 627, 'FPS': 137, 'Classic': 105, 'Multiplayer': 95, 'Shooter': 93, 'First-Person': 69, 'Arena Shooter': 44, 'Old School': 33, 'Sci-fi': 33, 'Competitive': 23, 'Fast-Paced': 15, 'Co-op': 14, 'Retro': 14, 'Gore': 12, 'Difficult': 11, ""1990's"": 9}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,11052,567,0,"5,000,000 .. 10,000,000",259,0,153,0,499,499,0,"English, French, German, Korean",Action,119,"{'FPS': 874, 'Action': 316, 'Sci-fi': 242, 'Classic': 242, 'Singleplayer': 220, 'Shooter': 216, 'First-Person': 183, 'Aliens': 168, ""1990's"": 131, 'Adventure': 110, 'Atmospheric': 103, 'Military': 87, 'Story Rich': 71, 'Silent Protagonist': 61, 'Great Soundtrack': 47, 'Gore': 36, 'Puzzle': 32, 'Co-op': 30, 'Moddable': 26, 'Retro': 15}"
60,Ricochet,Valve,Valve,,3463,802,0,"5,000,000 .. 10,000,000",34,0,9,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,7,"{'Action': 582, 'FPS': 124, 'Multiplayer': 98, 'Classic': 87, 'First-Person': 75, 'Sci-fi': 51, 'Shooter': 47, 'Space': 40, 'Cyberpunk': 38, 'Memes': 29, 'Platformer': 26, 'Psychological Horror': 25, 'Conspiracy': 25, '3D': 24, 'Old School': 22, 'Retro': 21, 'Cult Classic': 17, 'Competitive': 14, 'Sports': 11, 'Nudity': 7}"
70,Half-Life,Valve,Valve,,59005,2111,0,"5,000,000 .. 10,000,000",499,59,274,89,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,688,"{'FPS': 2189, 'Action': 1727, 'Sci-fi': 1725, 'Singleplayer': 1720, 'Multiplayer': 1720, 'Shooter': 1716, ""1990's"": 1710, 'First-Person': 1709, 'Aliens': 1706, 'Story Rich': 1705, 'Silent Protagonist': 1700, 'Adventure': 1699, 'Atmospheric': 1698, 'Moddable': 1693, 'Action-Adventure': 1691, 'Retro': 1688, 'PvP': 1686, 'Difficult': 1685, 'Gore': 1685, 'Linear': 1684}"
80,Counter-Strike: Condition Zero,Valve,Valve,,17238,1712,0,"5,000,000 .. 10,000,000",638,0,24,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,558,"{'Action': 1352, 'FPS': 1003, 'Shooter': 741, 'Multiplayer': 596, 'First-Person': 454, 'Classic': 388, 'Singleplayer': 384, 'Tactical': 364, 'Team-Based': 313, 'Competitive': 300, 'Strategy': 177, 'Online Co-Op': 172, 'Military': 166, 'Adventure': 87, 'Survival': 73, 'Atmospheric': 60, 'Open World': 46, 'Dark': 41, 'Simulation': 40, 'Old School': 38}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,7954,781,0,"5,000,000 .. 10,000,000",127,0,69,0,499,499,0,"English, French, German",Action,53,"{'FPS': 450, 'Action': 277, 'Sci-fi': 209, 'Singleplayer': 188, 'Shooter': 169, 'Aliens': 147, 'First-Person': 136, 'Classic': 135, 'Zombies': 88, 'Adventure': 87, ""1990's"": 79, 'Short': 72, 'Atmospheric': 68, 'Silent Protagonist': 48, 'Story Rich': 42, 'Puzzle': 22, 'Moddable': 20, 'Great Soundtrack': 19, 'Retro': 16, 'Gore': 8}"
220,Half-Life 2,Valve,Valve,,119197,3264,0,"10,000,000 .. 20,000,000",985,198,378,355,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,888,"{'FPS': 3805, 'Action': 2700, 'Sci-fi': 2351, 'Classic': 2144, 'Singleplayer': 2065, 'Story Rich': 1761, 'Shooter': 1595, 'First-Person': 1486, 'Adventure': 1272, 'Dystopian ': 1112, 'Atmospheric': 1027, 'Zombies': 937, 'Silent Protagonist': 907, 'Physics': 879, 'Aliens': 859, 'Great Soundtrack': 840, 'Horror': 656, 'Puzzle': 651, 'Multiplayer': 630, 'Moddable': 441}"
